ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1458,1984,Metropolitano 1984,Boca Juniors,10,16,10,40,36,34,49,-15,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1459,1984,Torneo Nacional 1984,Boca Juniors,1,1,2,5,4,6,5,1,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1460,1984,Torneo Nacional 1984,Central Norte (S),0,5,1,1,6,2,12,-10,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Escudo_del_Club_Central_Norte_de_Salta.svg/508px-Escudo_del_Club_Central_Norte_de_Salta.svg.png
1461,1984,Metropolitano 1984,Chacarita,11,13,12,45,36,30,37,-7,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1462,1984,Torneo Nacional 1984,Chacarita,4,2,0,12,6,14,6,8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1463,1984,Metropolitano 1984,Estudiantes (LP),21,9,6,69,36,49,27,22,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1464,1984,Torneo Nacional 1984,Estudiantes (LP),3,1,2,11,6,11,5,6,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1465,1984,Torneo Nacional 1984,Estudiantes (RC),0,3,1,1,4,5,9,-4,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1466,1984,Metropolitano 1984,Ferro,19,5,12,69,36,46,18,28,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1467,1984,Torneo Nacional 1984,Ferro,8,1,5,29,14,21,9,12,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1468,1984,Torneo Nacional 1984,Gimnasia (M),0,3,3,3,6,10,13,-3,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1469,1984,Metropolitano 1984,Huracan,9,18,9,36,36,36,55,-19,https://logodetimes.com/times/huracan/logo-huracan-256.png
1470,1984,Torneo Nacional 1984,Huracan,3,3,0,9,6,6,8,-2,https://logodetimes.com/times/huracan/logo-huracan-256.png
1471,1984,Metropolitano 1984,Independiente,10,15,11,41,36,45,59,-14,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1472,1984,Torneo Nacional 1984,Independiente,5,2,3,18,10,13,6,7,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1473,1984,Metropolitano 1984,Instituto,13,16,7,46,36,46,47,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1474,1984,Torneo Nacional 1984,Instituto,2,2,4,10,8,11,8,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1475,1984,Torneo Nacional 1984,Kimberley (MdP),0,4,2,2,6,3,18,-15,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kimberley_de_mar_del_plata.png/160px-Kimberley_de_mar_del_plata.png
1476,1984,Metropolitano 1984,Newells,17,15,4,55,36,36,39,-3,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1477,1984,Torneo Nacional 1984,Newells,2,2,4,10,8,9,10,-1,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1478,1984,Torneo Nacional 1984,Olimpo,1,2,3,6,6,4,8,-4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Escudo_Oficial_Olimpo.png/120px-Escudo_Oficial_Olimpo.png
1479,1984,Metropolitano 1984,Platense,10,13,13,43,36,34,45,-11,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1480,1984,Torneo Nacional 1984,Platense,2,1,3,9,6,7,7,0,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1481,1984,Metropolitano 1984,Racing (C),16,9,11,59,36,42,31,11,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1482,1984,Torneo Nacional 1984,Racing (C),1,2,5,8,8,8,11,-3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1483,1984,Metropolitano 1984,River Plate,15,8,13,58,36,51,38,13,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1484,1984,Torneo Nacional 1984,River Plate,7,3,2,23,12,21,13,8,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1485,1984,Metropolitano 1984,Rosario Central,7,18,11,32,36,28,41,-13,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1486,1984,Torneo Nacional 1984,Rosario Central,3,2,3,12,8,10,8,2,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1487,1984,Metropolitano 1984,San Lorenzo,11,10,15,48,36,47,46,1,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1488,1984,Torneo Nacional 1984,San Lorenzo,4,2,4,16,10,21,15,6,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1489,1984,Metropolitano 1984,Talleres (C),11,13,12,45,36,56,55,1,https://logodetimes.com/times/talleres/logo-talleres-256.png
1490,1984,Torneo Nacional 1984,Talleres (C),3,4,3,12,10,15,15,0,https://logodetimes.com/times/talleres/logo-talleres-256.png
1491,1984,Metropolitano 1984,Temperley,9,14,13,40,36,23,28,-5,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1492,1984,Torneo Nacional 1984,Temperley,0,1,3,3,4,5,9,-4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1493,1984,Metropolitano 1984,Union,11,17,8,41,36,43,46,-3,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1494,1984,Torneo Nacional 1984,Union,2,3,1,7,6,9,12,-3,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1495,1984,Metropolitano 1984,Velez,14,8,14,56,36,43,32,11,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1496,1984,Torneo Nacional 1984,Velez,2,2,2,8,6,9,6,3,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1497,1985,Torneo Nacional 1985,Altos Hornos Zapla,3,6,0,9,9,9,14,-5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Asociaci%C3%B3n_Cultural_y_Deportiva_Altos_Hornos_Zapla.png/600px-Asociaci%C3%B3n_Cultural_y_Deportiva_Altos_Hornos_Zapla.png
1498,1985,Torneo Nacional 1985,Arg de Firmat,3,4,1,10,8,7,13,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Argentino_de_Firmat.jpg/150px-Argentino_de_Firmat.jpgg
1499,1985,Torneo Nacional 1985,Argentinos,8,1,5,29,14,29,11,18,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1500,1985,Torneo Nacional 1985,Belgrano,1,4,3,6,8,11,18,-7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg/120px-Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg.png
1501,1985,Torneo Nacional 1985,Boca Juniors,5,3,2,17,10,19,12,7,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1502,1985,Torneo Nacional 1985,Central Norte (S),2,2,6,12,10,8,17,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Escudo_del_Club_Central_Norte_de_Salta.svg/508px-Escudo_del_Club_Central_Norte_de_Salta.svg.png
1503,1985,Torneo Nacional 1985,Chacarita,4,4,3,15,11,14,9,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1504,1985,Torneo Nacional 1985,Cipolletti,0,3,5,5,8,6,11,-5,https://upload.wikimedia.org/wikipedia/pt/thumb/f/f2/Club_Cipolletti.png/120px-Club_Cipolletti.png
1505,1985,Torneo Nacional 1985,Circulo Dep. (O),1,6,1,4,8,8,17,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Circulo_deportivo.png/120px-Circulo_deportivo.png
1506,1985,Torneo Nacional 1985,Dep. Español,5,3,2,17,10,14,13,1,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1507,1985,Torneo Nacional 1985,Estudiantes (LP),6,3,3,21,12,19,13,6,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1508,1985,Torneo Nacional 1985,Estudiantes (RC),3,4,2,11,9,14,17,-3,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1509,1985,Torneo Nacional 1985,Ferro,7,2,2,23,11,14,6,8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1510,1985,Torneo Nacional 1985,Gimnasia (LP),2,4,3,9,9,7,13,-6,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1511,1985,Torneo Nacional 1985,Guarani (M),2,3,3,9,8,6,11,-5,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1512,1985,Torneo Nacional 1985,Huracan,1,3,5,8,9,10,12,-2,https://logodetimes.com/times/huracan/logo-huracan-256.png
1513,1985,Torneo Nacional 1985,Huracan (LH),3,2,4,13,9,15,14,1,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1514,1985,Torneo Nacional 1985,Independiente,6,4,2,20,12,18,14,4,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1515,1985,Torneo Nacional 1985,Instituto,5,3,2,17,10,16,10,6,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1516,1985,Torneo Nacional 1985,Juv. Alianza (SJ),2,5,1,7,8,9,19,-10,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1517,1985,Torneo Nacional 1985,Juv. Antoniana,2,6,0,6,8,5,16,-11,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1518,1985,Torneo Nacional 1985,Newells,6,2,5,23,13,17,12,5,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1519,1985,Torneo Nacional 1985,Platense,3,4,2,11,9,6,12,-6,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1520,1985,Torneo Nacional 1985,Racing (C),2,4,2,8,8,7,11,-4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1521,1985,Torneo Nacional 1985,River Plate,9,3,2,29,14,26,12,14,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1522,1985,Torneo Nacional 1985,San Lorenzo,2,3,5,11,10,15,13,2,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1523,1985,Torneo Nacional 1985,San Martin (T),4,3,4,16,11,16,9,7,https://logodetimes.com/times/san-martin-de-tucuman/logo-san-martin-de-tucuman-256.png
1524,1985,Torneo Nacional 1985,Santamarina,2,5,2,8,9,9,13,-4,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1525,1985,Torneo Nacional 1985,Talleres (C),3,3,3,12,9,10,14,-4,https://logodetimes.com/times/talleres/logo-talleres-256.png
1526,1985,Torneo Nacional 1985,Temperley,4,5,1,13,10,17,18,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1527,1985,Torneo Nacional 1985,Union,2,5,4,10,11,13,10,3,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1528,1985,Torneo Nacional 1985,Velez,8,4,3,27,15,26,16,10,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1529,1985/86,Campeonato 1985/86,Argentinos,16,8,12,60,36,47,39,8,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1530,1985/86,Campeonato 1985/86,Atl. Concepcion (T),0,2,0,0,2,1,5,-4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Club_Atletico_Concepcion_logo.svg/160px-Club_Atletico_Concepcion_logo.svg.png
1531,1985/86,Campeonato 1985/86,Belgrano,0,2,0,0,2,2,5,-3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg/120px-Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg.png
1532,1985/86,Campeonato 1985/86,Boca Juniors,17,10,15,66,42,67,54,13,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1533,1985/86,Campeonato 1985/86,Chacarita,5,20,11,26,36,24,53,-29,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1534,1985/86,Campeonato 1985/86,Dep. Español,18,9,11,65,38,42,39,3,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1535,1985/86,Campeonato 1985/86,Estudiantes (LP),10,19,7,37,36,33,47,-14,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1536,1985/86,Campeonato 1985/86,Ferro,13,9,18,57,40,50,36,14,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1537,1985/86,Campeonato 1985/86,Gimnasia (LP),9,9,18,45,36,29,35,-6,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1538,1985/86,Campeonato 1985/86,Guarani (M),0,2,0,0,2,1,7,-6,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1539,1985/86,Campeonato 1985/86,Huracan,10,14,12,42,36,44,47,-3,https://logodetimes.com/times/huracan/logo-huracan-256.png
1540,1985/86,Campeonato 1985/86,Independiente,15,15,6,51,36,38,36,2,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1541,1985/86,Campeonato 1985/86,Instituto,11,12,13,46,36,33,33,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1542,1985/86,Campeonato 1985/86,Newells,19,6,17,74,42,56,37,19,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1543,1985/86,Campeonato 1985/86,Olimpo,0,1,1,1,2,3,4,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Escudo_Oficial_Olimpo.png/120px-Escudo_Oficial_Olimpo.png
1544,1985/86,Campeonato 1985/86,Platense,7,16,13,34,36,37,55,-18,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1545,1985/86,Campeonato 1985/86,Racing (C),6,16,14,32,36,31,52,-21,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1546,1985/86,Campeonato 1985/86,River Plate,23,3,10,79,36,74,26,48,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1547,1985/86,Campeonato 1985/86,San Lorenzo,16,11,15,63,42,52,37,15,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1548,1985/86,Campeonato 1985/86,Talleres (C),10,9,17,47,36,43,37,6,https://logodetimes.com/times/talleres/logo-talleres-256.png
1549,1985/86,Campeonato 1985/86,Temperley,8,15,13,37,36,44,60,-16,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1550,1985/86,Campeonato 1985/86,Union,9,14,13,40,36,27,38,-11,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1551,1985/86,Campeonato 1985/86,Velez,13,13,14,53,40,54,50,4,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1552,1986/87,Campeonato 1986/87,Argentinos,5,15,18,33,38,45,47,-2,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1553,1986/87,Campeonato 1986/87,Banfield,1,1,0,3,2,1,2,-1,https://logodetimes.com/times/banfield/logo-banfield-256.png
1554,1986/87,Campeonato 1986/87,Belgrano,0,1,1,1,2,0,2,-2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg/120px-Escudo_del_Club_Atl%C3%A9tico_Belgrano.svg.png
1555,1986/87,Campeonato 1986/87,Boca Juniors,21,11,12,75,44,77,59,18,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1556,1986/87,Campeonato 1986/87,Dep. Armenio,0,1,1,1,2,4,6,-2,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1557,1986/87,Campeonato 1986/87,Dep. Español,12,14,12,48,38,29,31,-2,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1558,1986/87,Campeonato 1986/87,Estudiantes (LP),11,11,16,49,38,40,44,-4,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1559,1986/87,Campeonato 1986/87,Ferro,14,9,19,61,42,41,34,7,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1560,1986/87,Campeonato 1986/87,Gimnasia (LP),12,13,13,49,38,33,41,-8,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1561,1986/87,Campeonato 1986/87,Independiente,20,9,15,75,44,77,51,26,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1562,1986/87,Campeonato 1986/87,Instituto,13,10,15,54,38,54,46,8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1563,1986/87,Campeonato 1986/87,Newells,20,11,11,71,42,61,44,17,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1564,1986/87,Campeonato 1986/87,Platense,7,17,15,36,39,42,63,-21,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1565,1986/87,Campeonato 1986/87,Racing (C),8,13,17,41,38,43,56,-13,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1566,1986/87,Campeonato 1986/87,Racing Club,16,11,13,61,40,51,43,8,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
1567,1986/87,Campeonato 1986/87,River Plate,14,11,13,55,38,57,49,8,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1568,1986/87,Campeonato 1986/87,Rosario Central,17,6,15,66,38,64,45,19,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1569,1986/87,Campeonato 1986/87,San Lorenzo,15,9,14,59,38,45,38,7,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1570,1986/87,Campeonato 1986/87,Sp. Italiano,6,21,11,29,38,29,59,-30,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1571,1986/87,Campeonato 1986/87,Talleres (C),11,11,16,49,38,54,61,-7,https://logodetimes.com/times/talleres/logo-talleres-256.png
1572,1986/87,Campeonato 1986/87,Temperley,6,20,13,31,39,28,53,-25,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1573,1986/87,Campeonato 1986/87,Union,6,13,19,37,38,30,38,-8,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1574,1986/87,Campeonato 1986/87,Velez,15,12,11,56,38,50,43,7,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1575,1987/88,Campeonato 1987/88,Argentinos,15,14,11,56,40,51,48,3,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1576,1987/88,Campeonato 1987/88,Banfield,7,17,14,35,38,36,56,-20,https://logodetimes.com/times/banfield/logo-banfield-256.png
1577,1987/88,Campeonato 1987/88,Boca Juniors,17,16,14,65,47,59,65,-6,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1578,1987/88,Campeonato 1987/88,Dep Mandiyu (C),0,0,2,2,2,2,2,0,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1579,1987/88,Campeonato 1987/88,Dep. Armenio,8,12,22,46,42,39,47,-8,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1580,1987/88,Campeonato 1987/88,Dep. Español,12,11,19,55,42,52,53,-1,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1581,1987/88,Campeonato 1987/88,Estudiantes (LP),7,13,20,41,40,34,46,-12,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1582,1987/88,Campeonato 1987/88,Ferro,7,12,21,42,40,28,36,-8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1583,1987/88,Campeonato 1987/88,Gimnasia (LP),11,7,22,55,40,45,40,5,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1584,1987/88,Campeonato 1987/88,Independiente,13,16,13,52,42,42,52,-10,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1585,1987/88,Campeonato 1987/88,Instituto,10,14,16,46,40,47,59,-12,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1586,1987/88,Campeonato 1987/88,Newells,21,4,13,76,38,68,22,46,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1587,1987/88,Campeonato 1987/88,Platense,14,12,19,61,45,49,49,0,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1588,1987/88,Campeonato 1987/88,Racing (C),10,18,13,43,41,33,48,-15,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1589,1987/88,Campeonato 1987/88,Racing Club,18,6,20,74,44,60,40,20,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
1590,1987/88,Campeonato 1987/88,River Plate,18,10,14,68,42,55,44,11,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
1591,1987/88,Campeonato 1987/88,Rosario Central,12,11,17,53,40,53,42,11,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
1592,1987/88,Campeonato 1987/88,San Lorenzo,17,6,21,72,44,53,31,22,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
1593,1987/88,Campeonato 1987/88,Talleres (C),7,18,15,36,40,41,66,-25,https://logodetimes.com/times/talleres/logo-talleres-256.png
1594,1987/88,Campeonato 1987/88,Union,8,18,13,37,39,40,53,-13,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1595,1987/88,Campeonato 1987/88,Velez,15,12,15,60,42,55,43,12,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1596,1988/89,Campeonato 1988/89,Argentinos,15,14,17,62,46,63,51,12,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1597,1988/89,Campeonato 1988/89,Boca Juniors,21,11,15,78,47,62,48,14,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1598,1988/89,Campeonato 1988/89,Chaco For Ever,0,3,1,1,4,3,9,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Chaco_For_Ever-ARG.png/120px-Chaco_For_Ever-ARG.png
1599,1988/89,Campeonato 1988/89,Dep Mandiyu (C),9,13,20,47,42,42,48,-6,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1600,1988/89,Campeonato 1988/89,Dep. Armenio,5,18,15,30,38,29,57,-28,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1601,1988/89,Campeonato 1988/89,Dep. Español,18,11,17,71,46,51,37,14,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
1602,1988/89,Campeonato 1988/89,Estudiantes (LP),15,12,13,58,40,53,42,11,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1603,1988/89,Campeonato 1988/89,Ferro,10,17,15,45,42,39,47,-8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1604,1988/89,Campeonato 1988/89,Gimnasia (LP),12,14,18,54,44,39,37,2,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1605,1988/89,Campeonato 1988/89,Independiente,22,5,11,77,38,58,32,26,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
1606,1988/89,Campeonato 1988/89,Instituto,8,24,10,34,42,41,70,-29,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Escudo_Instituto_Atletico_Central_Cordoba.svg/120px-Escudo_Instituto_Atletico_Central_Cordoba.svg.png
1607,1988/89,Campeonato 1988/89,Newells,14,15,17,59,46,52,51,1,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
1608,1988/89,Campeonato 1988/89,Platense,12,17,15,51,44,42,58,-16,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
1609,1988/89,Campeonato 1988/89,Racing (C),11,17,12,45,40,38,56,-18,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg/150px-Escudo_del_Club_Racing_de_C%C3%B3rdoba.svg.png
1610,1988/89,Campeonato 1988/89,Racing Club,13,9,18,57,40,47,41,6,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
