ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
981,1974,Metropolitano 1974,Racing Club,9,7,2,29,18,28,30,-2,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
982,1974,Nacional 1974,Racing Club,8,5,3,27,16,30,22,8,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
983,1974,Metropolitano 1974,River Plate,9,7,2,29,18,37,28,9,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
984,1974,Nacional 1974,River Plate,7,6,5,26,18,33,20,13,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
985,1974,Metropolitano 1974,Rosario Central,13,5,3,42,21,44,27,17,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
986,1974,Nacional 1974,Rosario Central,17,2,6,57,25,46,21,25,https://logodetimes.com/times/rosario-central/logo-rosario-central-256.png
987,1974,Metropolitano 1974,San Lorenzo,4,8,6,18,18,23,30,-7,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
988,1974,Nacional 1974,San Lorenzo,14,5,6,48,25,49,25,24,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
989,1974,Nacional 1974,San Lorenzo (MdP),3,10,5,14,18,21,40,-19,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Escudo_oficial_del_C._A._San_Lrenzo_de_Mar_del_Plata.png/220px-Escudo_oficial_del_C._A._San_Lrenzo_de_Mar_del_Plata.png
990,1974,Nacional 1974,San Martin (M),10,4,4,34,18,27,18,9,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
991,1974,Nacional 1974,San Martin (T),7,4,5,26,16,18,17,1,https://logodetimes.com/times/san-martin-de-tucuman/logo-san-martin-de-tucuman-256.png
992,1974,Nacional 1974,Talleres (C),13,6,6,45,25,35,22,13,https://logodetimes.com/times/talleres/logo-talleres-256.png
993,1974,Metropolitano 1974,Velez,4,10,4,16,18,20,32,-12,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
994,1974,Nacional 1974,Velez,15,6,4,49,25,49,21,28,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
995,1975,Nacional 1975,Aldosivi,6,8,2,20,16,23,29,-6,https://logodetimes.com/times/aldosivi/logo-aldosivi-256.png
996,1975,Metropolitano 1975,All Boys,9,19,10,37,38,43,65,-22,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg/150px-Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg.png
997,1975,Nacional 1975,All Boys,5,8,3,18,16,22,34,-12,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg/150px-Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg.png
998,1975,Metropolitano 1975,Argentinos,8,21,9,33,38,46,70,-24,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
999,1975,Nacional 1975,Argentinos,9,5,2,29,16,35,35,0,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1000,1975,Nacional 1975,Atl Tucuman,11,6,6,39,23,36,35,1,https://logodetimes.com/times/atletico-tucuman/logo-atletico-tucuman-256.png
1001,1975,Metropolitano 1975,Atlanta,13,18,7,46,38,62,69,-7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
1002,1975,Nacional 1975,Atlanta,7,8,1,22,16,29,35,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
1003,1975,Metropolitano 1975,Banfield,7,17,14,35,38,57,73,-16,https://logodetimes.com/times/banfield/logo-banfield-256.png
1004,1975,Nacional 1975,Banfield,3,10,3,12,16,20,30,-10,https://logodetimes.com/times/banfield/logo-banfield-256.png
